"","ID","Sex","Partner.ID","Match","Interest.Correlation","Same.Race","Age.of.Partner","Race.of.Partner","Preference.of.Partner.Attract","Preference.of.Partner.Sincerity","Preference.of.Partner.Intelligence","Preference.of.Partner.Fun","Preference.of.Partner.Ambition","Preference.of.Partner.Shared.Interest","Decision.of.Partner","Rating.from.Partner.Attract","Rating.from.Partner.Sincerity","Rating.from.Partner.Intelligence","Rating.from.Partner.Fun","Rating.from.Partner.Ambition","Rating.from.Partner.Shared.Interest","Overall.Like","Assumed.Match.Probability","Met.Before","Age","Field","Race","Importance.Same.Race","Importance.Same.Religion","Origin","Zipcode","Income","Date.Frequency","Go.Out.Frequency","Sports","Art","Gaming","Clubbing","Yoga","Expected.Happiness","Expected.Matches","Attractiveness.1","Sincerity.1","Intelligence.1","Fun.1","Ambition.1","Shared.Interest.1","Attractiveness.2","Sincerity.2","Intelligence.2","Fun.2","Ambition.2","Shared.Interest.2","Attractiveness.3","Sincerity.3","Intelligence.3","Fun.3","Ambition.3","Shared.Interest.3","Attractiveness.4","Sincerity.4","Intelligence.4","Fun.4","Ambition.4","Attractiveness.5","Sincerity.5","Intelligence.5","Fun.5","Ambition.5","Final.Decision","Final.Attractiveness.Rating","Final.Sincerity.Rating"
"1",1,"Female",11,"No",0.14,"No",27,"European/Caucasian American",35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,6,9
"2",1,"Female",12,"No",0.54,"No",22,"European/Caucasian American",60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,7,8
"3",1,"Female",13,"Yes",0.16,"Yes",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,5,8
"4",1,"Female",14,"Yes",0.61,"No",23,"European/Caucasian American",30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,7,6
"5",1,"Female",15,"Yes",0.21,"No",24,"Latino/Hispanic American",30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,5,6
"6",1,"Female",16,"No",0.25,"No",25,"European/Caucasian American",50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,0,4,9
"7",1,"Female",17,"No",0.34,"No",30,"European/Caucasian American",35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,7,6
"8",1,"Female",18,"No",0.5,"No",27,"European/Caucasian American",33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,0,4,9
"9",1,"Female",19,"Yes",0.28,"No",28,"European/Caucasian American",50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,7,6
"10",1,"Female",20,"No",-0.36,"No",24,"European/Caucasian American",100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,"Law","Asian/Pacific Islander/Asian-American",2,4,"Chicago","60,521","69,487.00",7,1,9,1,1,5,1,3,2,15,20,20,15,15,15,NA,NA,NA,NA,NA,NA,35,20,15,20,5,5,6,8,8,8,7,NA,NA,NA,NA,NA,1,5,6
"11",2,"Female",11,"No",0.29,"Yes",27,"European/Caucasian American",35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,7
"12",2,"Female",12,"No",0.18,"Yes",22,"European/Caucasian American",60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,8,5
"13",2,"Female",13,"No",0.1,"No",22,"Asian/Pacific Islander/Asian-American",19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,8
"14",2,"Female",14,"Yes",-0.21,"Yes",23,"European/Caucasian American",30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,9
"15",2,"Female",15,"No",0.32,"No",24,"Latino/Hispanic American",30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,6,8
"16",2,"Female",16,"No",0.73,"Yes",25,"European/Caucasian American",50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,8,7
"17",2,"Female",17,"No",0.6,"Yes",30,"European/Caucasian American",35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,"law","European/Caucasian American",2,5,"Alabama","35,223","65,929.00",5,1,3,6,5,8,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,5
